"Content","Type","ID","Flavour","BrewID","Volume","Name"
22,"IBU",1887,"Abbey Single Ale",57,"12","Abbey's Single Ale (Current)"
22,"IBU",1887,"Abbey Single Ale",57,"16",NA
22,"IBU",1887,"Abbey Single Ale",57,"24",NA
22,"IBU",1887,"Abbey Single Ale",57,"32",NA
22,"IBU",1887,"Abbey Single Ale",57,"Other",NA
22,"IBU",2505,"Abbey Single Ale",57,"12","Abbey's Single (2015- )"
22,"IBU",2505,"Abbey Single Ale",57,"16",NA
22,"IBU",2505,"Abbey Single Ale",57,"24",NA
22,"IBU",2505,"Abbey Single Ale",57,"32",NA
22,"IBU",2505,"Abbey Single Ale",57,"Other",NA
0.049,"AP",1887,"Abbey Single Ale",57,"12","Abbey's Single Ale (Current)"
0.049,"AP",1887,"Abbey Single Ale",57,"16",NA
0.049,"AP",1887,"Abbey Single Ale",57,"24",NA
0.049,"AP",1887,"Abbey Single Ale",57,"32",NA
0.049,"AP",1887,"Abbey Single Ale",57,"Other",NA
0.049,"AP",2505,"Abbey Single Ale",57,"12","Abbey's Single (2015- )"
0.049,"AP",2505,"Abbey Single Ale",57,"16",NA
0.049,"AP",2505,"Abbey Single Ale",57,"24",NA
0.049,"AP",2505,"Abbey Single Ale",57,"32",NA
0.049,"AP",2505,"Abbey Single Ale",57,"Other",NA
40,"IBU",502,"Altbier",395,"12","Alteration"
40,"IBU",502,"Altbier",395,"16",NA
40,"IBU",502,"Altbier",395,"24",NA
40,"IBU",502,"Altbier",395,"32",NA
40,"IBU",502,"Altbier",395,"Other",NA
30,"IBU",573,"Altbier",268,"12","Long Trail Ale (1)"
30,"IBU",573,"Altbier",268,"16",NA
30,"IBU",573,"Altbier",268,"24",NA
30,"IBU",573,"Altbier",268,"32",NA
30,"IBU",573,"Altbier",268,"Other",NA
NA,"IBU",582,"Altbier",71,"12","Balt Altbier"
NA,"IBU",582,"Altbier",71,"16",NA
NA,"IBU",582,"Altbier",71,"24",NA
NA,"IBU",582,"Altbier",71,"32",NA
NA,"IBU",582,"Altbier",71,"Other",NA
NA,"IBU",936,"Altbier",490,"12",NA
NA,"IBU",936,"Altbier",490,"16","Loafin Bräu"
NA,"IBU",936,"Altbier",490,"24",NA
NA,"IBU",936,"Altbier",490,"32",NA
NA,"IBU",936,"Altbier",490,"Other",NA
33,"IBU",1090,"Altbier",268,"12",NA
33,"IBU",1090,"Altbier",268,"16","Double Bag"
33,"IBU",1090,"Altbier",268,"24",NA
33,"IBU",1090,"Altbier",268,"32",NA
33,"IBU",1090,"Altbier",268,"Other",NA
NA,"IBU",1129,"Altbier",200,"12",NA
NA,"IBU",1129,"Altbier",200,"16","Occidental Altbier"
NA,"IBU",1129,"Altbier",200,"24",NA
NA,"IBU",1129,"Altbier",200,"32",NA
NA,"IBU",1129,"Altbier",200,"Other",NA
40,"IBU",1248,"Altbier",122,"12","Main St. Virginia Ale"
40,"IBU",1248,"Altbier",122,"16",NA
40,"IBU",1248,"Altbier",122,"24",NA
40,"IBU",1248,"Altbier",122,"32",NA
40,"IBU",1248,"Altbier",122,"Other",NA
NA,"IBU",1597,"Altbier",364,"12","Altus Bohemes Altbier"
NA,"IBU",1597,"Altbier",364,"16",NA
NA,"IBU",1597,"Altbier",364,"24",NA
NA,"IBU",1597,"Altbier",364,"32",NA
NA,"IBU",1597,"Altbier",364,"Other",NA
