,Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
695,22.0,IBU,382,American Brown Ale,546,,Common Sense Kentucky Common Ale,,,
1111,70.0,IBU,381,American IPA,546,Upstate I.P.W.,,,,
4160,30.0,IBU,392,Maibock / Helles Bock,545,Rumspringa Golden Bock,,,,
3986,28.0,IBU,195,Kölsch,545,Lancaster German Style Kölsch,,,,
1956,55.0,IBU,413,American Pale Ale (APA),541,Sky High Rye,,,,
1958,52.0,IBU,433,American Pale Ale (APA),539,Greenville Pale Ale,,,,
1130,52.0,IBU,516,American IPA,533,Jockamo IPA,,,,
4520,40.0,IBU,26,Schwarzbier,530,,Black Noddy Lager (Current),,,
3930,35.0,IBU,27,Herbed / Spiced Beer,530,,Original Orange Blossom Ale (Current),,,
397,85.0,IBU,383,American Black Ale,530,,Black Adder IBA (Current),,,
66,42.0,IBU,28,American Amber / Red Ale,530,,Tule Duck Red Ale (Current),,,
1117,69.0,IBU,428,American IPA,528,Shiva IPA,,,,
3989,27.0,IBU,550,Kölsch,528,Rocket Girl,,,,
2742,26.0,IBU,429,American Porter,528,Ninja Porter,,,,
1138,55.0,IBU,558,American IPA,527,I-10 IPA,,,,
1964,28.0,IBU,553,American Pale Ale (APA),527,People's Pale Ale,,,,
2690,29.0,IBU,567,American Pilsner,526,Churchkey Pilsner Style Beer,,,,
4210,27.0,IBU,513,Munich Helles Lager,525,Bomb Lager (Old Recipe),,,,
486,27.0,IBU,597,American Blonde Ale,523,This Season's Blonde,,,,
1144,67.0,IBU,596,American IPA,523,Independence Pass Ale,,,,
2422,28.0,IBU,607,American Pale Lager,521,Underdog Atlantic Lager,,,,
1145,60.0,IBU,608,American IPA,521,Snake Dog IPA,,,,
1152,65.0,IBU,641,American IPA,520,,Hoppy Boy,,,
1148,55.0,IBU,632,American IPA,519,House Brand IPA,,,,
3363,32.0,IBU,643,Czech Pilsener,519,Big River Pilsner,,,,
1973,36.0,IBU,668,American Pale Ale (APA),517,Mucho Aloha Hawaiian Pale Ale,,,,
341,25.0,IBU,673,American Amber / Red Lager,516,,Dottie Seattle Lager,,,
4252,29.0,IBU,659,Oatmeal Stout,515,,Crabtree Oatmeal Stout,,,
398,71.0,IBU,556,American Black Ale,515,,Eclipse Black IPA,,,
1169,65.0,IBU,759,American IPA,510,,Double Haul IPA (2009),,,
1168,65.0,IBU,758,American IPA,510,,Double Haul IPA (2006),,,
1937,50.0,IBU,87,American Pale Ale (APA),510,,Eddy Out Pale Ale,,,
1086,65.0,IBU,86,American IPA,510,,Double Haul IPA,,,
1170,83.0,IBU,762,American IPA,509,,Ace IPA,,,
2746,31.0,IBU,761,American Porter,509,,P-51 Porter,,,
4577,35.0,IBU,787,Scottish Ale,503,Old Chub (2008),,,,
1984,65.0,IBU,744,American Pale Ale (APA),503,Dale's Pale Ale (2006),,,,
1981,65.0,IBU,741,American Pale Ale (APA),503,Dale's Pale Ale (2002),,,,
861,60.0,IBU,733,American Double / Imperial IPA,503,Gordon Beer (2006),,,,
4360,98.0,IBU,803,Russian Imperial Stout,503,Ten Fidy Imperial Stout (2007),,,,
4361,98.0,IBU,804,Russian Imperial Stout,503,Ten Fidy Imperial Stout (2008),,,,
4576,35.0,IBU,786,Scottish Ale,503,Old Chub (2004),,,,
1985,65.0,IBU,745,American Pale Ale (APA),503,Dale's Pale Ale (2008),,,,
1982,65.0,IBU,742,American Pale Ale (APA),503,Dale's Pale Ale (2003),,,,
1983,65.0,IBU,743,American Pale Ale (APA),503,Dale's Pale Ale (2004),,,,
864,85.0,IBU,805,American Double / Imperial IPA,503,Gordon (2005),,,,
